image_id,bbox
1x0_0.jpg,"[0, 0.3359375, 0.458984375, 0.671875, 0.755859375]"
1x0_1.jpg,"[0, 0.19140625, 0.56201171875, 0.3828125, 0.5458984375]"
1x0_3.jpg,"[0, 0.1962890625, 0.5732421875, 0.392578125, 0.61328125]"
1x0_4.jpg,"[0, 0.18310546875, 0.60498046875, 0.3662109375, 0.5107421875]"
1x0_5.jpg,"[0, 0.1796875, 0.63330078125, 0.353515625, 0.4814453125]"
1x0_6.jpg,"[0, 0.185546875, 0.64501953125, 0.37109375, 0.4951171875]"
1x0_7.jpg,"[0, 0.8193359375, 0.63330078125, 0.353515625, 0.4814453125]"
1x0_8.jpg,"[0, 0.80322265625, 0.5361328125, 0.3935546875, 0.5625]"
1x0_9.jpg,"[0, 0.56640625, 0.779296875, 0.45703125, 0.44140625]"
1x0_10.jpg,"[0, 0.205078125, 0.49658203125, 0.41015625, 0.5810546875]"
1x0_11.jpg,"[0, 0.8193359375, 0.69091796875, 0.361328125, 0.5615234375]"
1x0_12.jpg,"[0, 0.72412109375, 0.69287109375, 0.5517578125, 0.6142578125]"
1x0_13.jpg,"[0, 0.759765625, 0.72119140625, 0.48046875, 0.5576171875]"
1x0_14.jpg,"[0, 0.26611328125, 0.7314453125, 0.5244140625, 0.537109375]"
1x0_15.jpg,"[0, 0.28662109375, 0.73828125, 0.5439453125, 0.5234375]"
1x0_17.jpg,"[0, 0.39990234375, 0.29150390625, 0.7529296875, 0.5830078125]"
1x0_18.jpg,"[0, 0.794921875, 0.49755859375, 0.41015625, 0.5810546875]"
1x0_19.jpg,"[0, 0.18505859375, 0.5888671875, 0.3701171875, 0.53515625]"
1x0_21.jpg,"[0, 0.54541015625, 0.7314453125, 0.7158203125, 0.537109375]"
1x0_22.jpg,"[0, 0.26904296875, 0.732421875, 0.5263671875, 0.53515625]"
1x0_23.jpg,"[0, 0.7880859375, 0.46923828125, 0.423828125, 0.5908203125]"
1x0_24.jpg,"[0, 0.80615234375, 0.55029296875, 0.3876953125, 0.5537109375]"
1x1_0.jpg,"[0, 0.63671875, 0.76611328125, 0.423828125, 0.4677734375]"
1x1_1.jpg,"[0, 0.48193359375, 0.6513671875, 0.5810546875, 0.619140625]"
1x1_2.jpg,"[0, 0.26025390625, 0.689453125, 0.2900390625, 0.419921875]"
1x1_3.jpg,"[0, 0.7607421875, 0.658203125, 0.28515625, 0.41796875]"
1x1_4.jpg,"[0, 0.248046875, 0.67333984375, 0.26171875, 0.4033203125]"
1x1_5.jpg,"[0, 0.248046875, 0.67333984375, 0.26171875, 0.4033203125]"
1x1_6.jpg,"[0, 0.6748046875, 0.74951171875, 0.38671875, 0.4697265625]"
1x1_7.jpg,"[0, 0.21142578125, 0.80615234375, 0.3525390625, 0.3876953125]"
1x1_8.jpg,"[0, 0.67236328125, 0.75146484375, 0.3896484375, 0.4697265625]"
1x1_9.jpg,"[0, 0.68505859375, 0.7421875, 0.3740234375, 0.46484375]"
1x1_10.jpg,"[0, 0.203125, 0.537109375, 0.40625, 0.478515625]"
1x1_11.jpg,"[0, 0.248046875, 0.67333984375, 0.26171875, 0.4033203125]"
1x1_12.jpg,"[0, 0.74853515625, 0.6767578125, 0.2685546875, 0.40625]"
1x1_13.jpg,"[0, 0.78125, 0.7587890625, 0.4140625, 0.482421875]"
1x1_14.jpg,"[0, 0.70263671875, 0.90087890625, 0.3173828125, 0.1982421875]"
1x1_15.jpg,"[0, 0.67041015625, 0.7099609375, 0.4267578125, 0.482421875]"
1x1_16.jpg,"[0, 0.77734375, 0.50390625, 0.4453125, 0.6640625]"
1x1_17.jpg,"[0, 0.251953125, 0.67822265625, 0.271484375, 0.4091796875]"
1x1_18.jpg,"[0, 0.20263671875, 0.53759765625, 0.4052734375, 0.4794921875]"
1x1_19.jpg,"[0, 0.67529296875, 0.76708984375, 0.4365234375, 0.4658203125]"
1x1_20.jpg,"[0, 0.30712890625, 0.4609375, 0.3564453125, 0.41015625]"
1x1_21.jpg,"[0, 0.78173828125, 0.6171875, 0.3408203125, 0.44921875]"
1x1_22.jpg,"[0, 0.248046875, 0.67333984375, 0.26171875, 0.4033203125]"
1x1_23.jpg,"[0, 0.796875, 0.54052734375, 0.40625, 0.4775390625]"
1x1_24.jpg,"[0, 0.67724609375, 0.748046875, 0.3837890625, 0.46875]"
1x10_0.jpg,"[0, 0.1953125, 0.71533203125, 0.283203125, 0.2685546875]"
1x10_1.jpg,"[0, 0.8447265625, 0.6171875, 0.310546875, 0.3203125]"
1x10_2.jpg,"[0, 0.15771484375, 0.64404296875, 0.3154296875, 0.3095703125]"
1x10_3.jpg,"[0, 0.6474609375, 0.87548828125, 0.3203125, 0.2490234375]"
1x10_4.jpg,"[0, 0.7197265625, 0.8173828125, 0.34765625, 0.3359375]"
1x10_6.jpg,"[0, 0.232421875, 0.759765625, 0.2578125, 0.240234375]"
1x10_7.jpg,"[0, 0.27392578125, 0.7744140625, 0.2919921875, 0.27734375]"
1x10_8.jpg,"[0, 0.84326171875, 0.62939453125, 0.3134765625, 0.3154296875]"
1x10_9.jpg,"[0, 0.830078125, 0.7294921875, 0.294921875, 0.279296875]"
1x10_10.jpg,"[0, 0.19970703125, 0.7216796875, 0.2783203125, 0.263671875]"
1x10_12.jpg,"[0, 0.2109375, 0.546875, 0.421875, 0.484375]"
1x10_13.jpg,"[0, 0.736328125, 0.78759765625, 0.28125, 0.2666015625]"
1x10_14.jpg,"[0, 0.78076171875, 0.6845703125, 0.3662109375, 0.36328125]"
1x10_15.jpg,"[0, 0.36376953125, 0.84326171875, 0.3291015625, 0.3134765625]"
1x10_16.jpg,"[0, 0.25732421875, 0.8994140625, 0.3349609375, 0.201171875]"
1x10_17.jpg,"[0, 0.1806640625, 0.693359375, 0.296875, 0.283203125]"
1x10_18.jpg,"[0, 0.7607421875, 0.765625, 0.26171875, 0.24609375]"
1x10_19.jpg,"[0, 0.75732421875, 0.76904296875, 0.2646484375, 0.2490234375]"
1x10_20.jpg,"[0, 0.80224609375, 0.73046875, 0.2939453125, 0.279296875]"
1x10_21.jpg,"[0, 0.806640625, 0.82080078125, 0.37109375, 0.3017578125]"
1x10_22.jpg,"[0, 0.84521484375, 0.6083984375, 0.3095703125, 0.32421875]"
1x10_23.jpg,"[0, 0.22802734375, 0.7548828125, 0.2529296875, 0.236328125]"
1x10_24.jpg,"[0, 0.23876953125, 0.76611328125, 0.2626953125, 0.2470703125]"
1x11_0.jpg,"[0, 0.38525390625, 0.44921875, 0.3994140625, 0.3359375]"
1x11_1.jpg,"[0, 0.4375, 0.5625, 0.591796875, 0.576171875]"
1x11_2.jpg,"[0, 0.62060546875, 0.46923828125, 0.3583984375, 0.2802734375]"
1x11_3.jpg,"[0, 0.47998046875, 0.28271484375, 0.4931640625, 0.4853515625]"
1x11_4.jpg,"[0, 0.47998046875, 0.763671875, 0.4482421875, 0.44140625]"
1x11_5.jpg,"[0, 0.39599609375, 0.43017578125, 0.4306640625, 0.3837890625]"
1x11_6.jpg,"[0, 0.6259765625, 0.42333984375, 0.435546875, 0.3740234375]"
1x11_7.jpg,"[0, 0.37451171875, 0.291015625, 0.5068359375, 0.5]"
1x11_8.jpg,"[0, 0.76123046875, 0.212890625, 0.4560546875, 0.42578125]"
1x11_9.jpg,"[0, 0.61962890625, 0.46533203125, 0.3662109375, 0.2900390625]"
1x11_10.jpg,"[0, 0.51806640625, 0.23291015625, 0.5205078125, 0.4658203125]"
1x11_11.jpg,"[0, 0.22412109375, 0.41845703125, 0.4482421875, 0.4443359375]"
1x11_12.jpg,"[0, 0.60302734375, 0.4296875, 0.4306640625, 0.384765625]"
1x11_13.jpg,"[0, 0.51171875, 0.64794921875, 0.4765625, 0.4033203125]"
1x11_14.jpg,"[0, 0.61962890625, 0.46484375, 0.3662109375, 0.291015625]"
1x11_15.jpg,"[0, 0.37548828125, 0.48583984375, 0.3916015625, 0.3251953125]"
1x11_16.jpg,"[0, 0.39306640625, 0.43408203125, 0.4248046875, 0.3740234375]"
1x11_17.jpg,"[0, 0.42529296875, 0.478515625, 0.4580078125, 0.390625]"
1x11_18.jpg,"[0, 0.3916015625, 0.4365234375, 0.421875, 0.369140625]"
1x11_19.jpg,"[0, 0.375, 0.4921875, 0.404296875, 0.341796875]"
1x11_20.jpg,"[0, 0.62255859375, 0.47802734375, 0.3779296875, 0.3056640625]"
1x11_21.jpg,"[0, 0.3779296875, 0.458984375, 0.462890625, 0.40625]"
1x11_22.jpg,"[0, 0.3818359375, 0.45751953125, 0.3828125, 0.3115234375]"
1x11_23.jpg,"[0, 0.3515625, 0.45947265625, 0.373046875, 0.2919921875]"
1x11_24.jpg,"[0, 0.33642578125, 0.45947265625, 0.3876953125, 0.3056640625]"
1x12_0.jpg,"[0, 0.7021484375, 0.45361328125, 0.35546875, 0.3955078125]"
1x12_1.jpg,"[0, 0.54296875, 0.67333984375, 0.265625, 0.3017578125]"
1x12_2.jpg,"[0, 0.6748046875, 0.58203125, 0.26171875, 0.30859375]"
1x12_3.jpg,"[0, 0.42578125, 0.6767578125, 0.1796875, 0.27734375]"
1x12_4.jpg,"[0, 0.37646484375, 0.64697265625, 0.1689453125, 0.2724609375]"
1x12_5.jpg,"[0, 0.6201171875, 0.6484375, 0.166015625, 0.271484375]"
1x12_6.jpg,"[0, 0.396484375, 0.6611328125, 0.13671875, 0.2578125]"
1x12_7.jpg,"[0, 0.396484375, 0.6611328125, 0.13671875, 0.2578125]"
1x12_8.jpg,"[0, 0.60302734375, 0.6611328125, 0.1376953125, 0.2578125]"
1x12_9.jpg,"[0, 0.396484375, 0.6611328125, 0.13671875, 0.2578125]"
1x12_10.jpg,"[0, 0.60302734375, 0.6611328125, 0.1376953125, 0.2578125]"
1x12_11.jpg,"[0, 0.7470703125, 0.3271484375, 0.34375, 0.384765625]"
1x12_12.jpg,"[0, 0.34033203125, 0.60595703125, 0.2294921875, 0.2919921875]"
1x12_13.jpg,"[0, 0.615234375, 0.65234375, 0.158203125, 0.267578125]"
1x12_14.jpg,"[0, 0.658203125, 0.607421875, 0.228515625, 0.291015625]"
1x12_15.jpg,"[0, 0.34326171875, 0.611328125, 0.2236328125, 0.291015625]"
1x12_16.jpg,"[0, 0.5458984375, 0.68603515625, 0.212890625, 0.2880859375]"
1x12_17.jpg,"[0, 0.64697265625, 0.64501953125, 0.2060546875, 0.2978515625]"
1x12_18.jpg,"[0, 0.5927734375, 0.66796875, 0.326171875, 0.3984375]"
1x12_19.jpg,"[0, 0.61572265625, 0.65185546875, 0.1591796875, 0.2685546875]"
1x12_20.jpg,"[0, 0.60302734375, 0.6611328125, 0.1376953125, 0.2578125]"
1x12_21.jpg,"[0, 0.46533203125, 0.49462890625, 0.2392578125, 0.3017578125]"
